,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
373,"frozenset({'pm1-Zelo dobra', 'pm10-Zelo dobra'})","frozenset({'pm4-Zelo dobra', 'nox-Zelo nizka', 'pm25-Zelo dobra'})",0.8032630098452883,0.9627566807313642,0.8032630098452883,1.0,1.0386840413720564,0.02991618073235336,inf,0.18930511867314842
391,"frozenset({'pm10-Zelo dobra', 'pm1-Zelo dobra', 'pm25-Zelo dobra'})",frozenset({'pm4-Zelo dobra'}),0.8032630098452883,0.9627566807313642,0.8032630098452883,1.0,1.0386840413720564,0.02991618073235336,inf,0.18930511867314842
397,"frozenset({'pm1-Zelo dobra', 'pm10-Zelo dobra'})","frozenset({'pm4-Zelo dobra', 'pm25-Zelo dobra'})",0.8032630098452883,0.9627566807313642,0.8032630098452883,1.0,1.0386840413720564,0.02991618073235336,inf,0.18930511867314842
462,"frozenset({'nox-Zelo nizka', 'no2-Zelo dobra', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})",frozenset({'pm4-Zelo dobra'}),0.8016315049226441,0.9627566807313642,0.8016315049226441,1.0,1.0386840413720564,0.029855418073631013,inf,0.18774815655133323
466,"frozenset({'no2-Zelo dobra', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})","frozenset({'pm4-Zelo dobra', 'nox-Zelo nizka'})",0.8016315049226441,0.9627566807313642,0.8016315049226441,1.0,1.0386840413720564,0.029855418073631013,inf,0.18774815655133323
493,"frozenset({'pm10-Zelo dobra', 'pm1-Zelo dobra', 'no2-Zelo dobra'})",frozenset({'pm4-Zelo dobra'}),0.8016315049226441,0.9627566807313642,0.8016315049226441,1.0,1.0386840413720564,0.029855418073631013,inf,0.18774815655133323
506,"frozenset({'pm25-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})",frozenset({'pm4-Zelo dobra'}),0.8016315049226441,0.9627566807313642,0.8016315049226441,1.0,1.0386840413720564,0.029855418073631013,inf,0.18774815655133323
510,"frozenset({'no2-Zelo dobra', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})","frozenset({'pm4-Zelo dobra', 'pm25-Zelo dobra'})",0.8016315049226441,0.9627566807313642,0.8016315049226441,1.0,1.0386840413720564,0.029855418073631013,inf,0.18774815655133323
537,"frozenset({'pm1-Zelo dobra', 'pm10-Zelo dobra', 'no2-Zelo dobra', 'nox-Zelo nizka', 'pm25-Zelo dobra'})",frozenset({'pm4-Zelo dobra'}),0.8016315049226441,0.9627566807313642,0.8016315049226441,1.0,1.0386840413720564,0.029855418073631013,inf,0.18774815655133323
543,"frozenset({'nox-Zelo nizka', 'no2-Zelo dobra', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})","frozenset({'pm4-Zelo dobra', 'pm25-Zelo dobra'})",0.8016315049226441,0.9627566807313642,0.8016315049226441,1.0,1.0386840413720564,0.029855418073631013,inf,0.18774815655133323
544,"frozenset({'pm25-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})","frozenset({'pm4-Zelo dobra', 'nox-Zelo nizka'})",0.8016315049226441,0.9627566807313642,0.8016315049226441,1.0,1.0386840413720564,0.029855418073631013,inf,0.18774815655133323
556,"frozenset({'no2-Zelo dobra', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})","frozenset({'pm4-Zelo dobra', 'nox-Zelo nizka', 'pm25-Zelo dobra'})",0.8016315049226441,0.9627566807313642,0.8016315049226441,1.0,1.0386840413720564,0.029855418073631013,inf,0.18774815655133323
0,frozenset({'nox-Zelo nizka'}),frozenset({'pm25-Zelo dobra'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
1,frozenset({'pm25-Zelo dobra'}),frozenset({'nox-Zelo nizka'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
2,frozenset({'no2-Zelo dobra'}),frozenset({'pm25-Zelo dobra'}),0.9909985935302391,1.0,0.9909985935302391,1.0,1.0,0.0,inf,0.0
4,"frozenset({'nox-Zelo nizka', 'no2-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.9909985935302391,1.0,0.9909985935302391,1.0,1.0,0.0,inf,0.0
5,"frozenset({'pm25-Zelo dobra', 'no2-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.9909985935302391,1.0,0.9909985935302391,1.0,1.0,0.0,inf,0.0
7,frozenset({'no2-Zelo dobra'}),"frozenset({'nox-Zelo nizka', 'pm25-Zelo dobra'})",0.9909985935302391,1.0,0.9909985935302391,1.0,1.0,0.0,inf,0.0
11,frozenset({'no2-Zelo dobra'}),frozenset({'nox-Zelo nizka'}),0.9909985935302391,1.0,0.9909985935302391,1.0,1.0,0.0,inf,0.0
12,frozenset({'pm4-Zelo dobra'}),frozenset({'pm25-Zelo dobra'}),0.9627566807313642,1.0,0.9627566807313642,1.0,1.0,0.0,inf,0.0
14,frozenset({'pm4-Zelo dobra'}),frozenset({'nox-Zelo nizka'}),0.9627566807313642,1.0,0.9627566807313642,1.0,1.0,0.0,inf,0.0
16,"frozenset({'pm4-Zelo dobra', 'nox-Zelo nizka'})",frozenset({'pm25-Zelo dobra'}),0.9627566807313642,1.0,0.9627566807313642,1.0,1.0,0.0,inf,0.0
17,"frozenset({'pm4-Zelo dobra', 'pm25-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.9627566807313642,1.0,0.9627566807313642,1.0,1.0,0.0,inf,0.0
19,frozenset({'pm4-Zelo dobra'}),"frozenset({'nox-Zelo nizka', 'pm25-Zelo dobra'})",0.9627566807313642,1.0,0.9627566807313642,1.0,1.0,0.0,inf,0.0
23,"frozenset({'pm4-Zelo dobra', 'no2-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.9574683544303797,1.0,0.9574683544303797,1.0,1.0,0.0,inf,0.0
28,"frozenset({'pm4-Zelo dobra', 'no2-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.9574683544303797,1.0,0.9574683544303797,1.0,1.0,0.0,inf,0.0
34,"frozenset({'pm4-Zelo dobra', 'nox-Zelo nizka', 'no2-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.9574683544303797,1.0,0.9574683544303797,1.0,1.0,0.0,inf,0.0
35,"frozenset({'pm4-Zelo dobra', 'pm25-Zelo dobra', 'no2-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.9574683544303797,1.0,0.9574683544303797,1.0,1.0,0.0,inf,0.0
