,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
28,"['no2-Zelo dobra', 'nox-Zelo nizka']","['pm4-Zelo dobra', 'pm25-Zelo dobra']",0.9909985935302391,0.9627566807313642,0.9574683544303797,0.9661652001135396,1.0035403746869729,0.003377837913756343,1.1007400485184877,0.3919259357189077
32,['no2-Zelo dobra'],"['pm4-Zelo dobra', 'pm25-Zelo dobra', 'nox-Zelo nizka']",0.9909985935302391,0.9627566807313642,0.9574683544303797,0.9661652001135396,1.0035403746869729,0.003377837913756343,1.1007400485184877,0.3919259357189077
36,"['no2-Zelo dobra', 'pm25-Zelo dobra']",['pm4-Zelo dobra'],0.9909985935302391,0.9627566807313642,0.9574683544303797,0.9661652001135396,1.0035403746869729,0.003377837913756343,1.1007400485184877,0.3919259357189077
39,['no2-Zelo dobra'],"['pm4-Zelo dobra', 'pm25-Zelo dobra']",0.9909985935302391,0.9627566807313642,0.9574683544303797,0.9661652001135396,1.0035403746869729,0.003377837913756343,1.1007400485184877,0.3919259357189077
43,"['no2-Zelo dobra', 'nox-Zelo nizka']",['pm4-Zelo dobra'],0.9909985935302391,0.9627566807313642,0.9574683544303797,0.9661652001135396,1.0035403746869729,0.003377837913756343,1.1007400485184877,0.3919259357189077
45,['no2-Zelo dobra'],"['pm4-Zelo dobra', 'nox-Zelo nizka']",0.9909985935302391,0.9627566807313642,0.9574683544303797,0.9661652001135396,1.0035403746869729,0.003377837913756343,1.1007400485184877,0.3919259357189077
48,['no2-Zelo dobra'],['pm4-Zelo dobra'],0.9909985935302391,0.9627566807313642,0.9574683544303797,0.9661652001135396,1.0035403746869729,0.003377837913756343,1.1007400485184877,0.3919259357189077
13,"['pm25-Zelo dobra', 'nox-Zelo nizka']",['pm4-Zelo dobra'],1.0,0.9627566807313642,0.9627566807313642,0.9627566807313642,1.0,0.0,1.0,0.0
15,['pm25-Zelo dobra'],"['pm4-Zelo dobra', 'nox-Zelo nizka']",1.0,0.9627566807313642,0.9627566807313642,0.9627566807313642,1.0,0.0,1.0,0.0
17,['nox-Zelo nizka'],"['pm4-Zelo dobra', 'pm25-Zelo dobra']",1.0,0.9627566807313642,0.9627566807313642,0.9627566807313642,1.0,0.0,1.0,0.0
18,['pm25-Zelo dobra'],['pm4-Zelo dobra'],1.0,0.9627566807313642,0.9627566807313642,0.9627566807313642,1.0,0.0,1.0,0.0
21,['nox-Zelo nizka'],['pm4-Zelo dobra'],1.0,0.9627566807313642,0.9627566807313642,0.9627566807313642,1.0,0.0,1.0,0.0
30,"['pm25-Zelo dobra', 'nox-Zelo nizka']","['no2-Zelo dobra', 'pm4-Zelo dobra']",1.0,0.9574683544303797,0.9574683544303797,0.9574683544303797,1.0,0.0,1.0,0.0
33,['pm25-Zelo dobra'],"['no2-Zelo dobra', 'pm4-Zelo dobra', 'nox-Zelo nizka']",1.0,0.9574683544303797,0.9574683544303797,0.9574683544303797,1.0,0.0,1.0,0.0
35,['nox-Zelo nizka'],"['no2-Zelo dobra', 'pm25-Zelo dobra', 'pm4-Zelo dobra']",1.0,0.9574683544303797,0.9574683544303797,0.9574683544303797,1.0,0.0,1.0,0.0
40,['pm25-Zelo dobra'],"['no2-Zelo dobra', 'pm4-Zelo dobra']",1.0,0.9574683544303797,0.9574683544303797,0.9574683544303797,1.0,0.0,1.0,0.0
47,['nox-Zelo nizka'],"['no2-Zelo dobra', 'pm4-Zelo dobra']",1.0,0.9574683544303797,0.9574683544303797,0.9574683544303797,1.0,0.0,1.0,0.0
