,Rule,Support,Confidence,Lift
62,"pm4-Zelo dobra, h-Nizka, pm25-Zelo dobra, nox-Zelo nizka",0.5481293952180029,0.5481293952180029,1.0
63,"o3-Dobra, no2-Zelo dobra, nox-Zelo nizka, pm25-Zelo dobra",0.5062728551336146,0.5062728551336146,1.0
64,"pm1-Zelo dobra, no2-Zelo dobra, nox-Zelo nizka, pm10-Zelo dobra",0.8016315049226441,0.8016315049226441,1.0
65,"pm1-Zelo dobra, no2-Zelo dobra, nox-Zelo nizka, pm25-Zelo dobra",0.8485513361462729,0.8485513361462729,1.0
66,"pm1-Zelo dobra, no2-Zelo dobra, pm4-Zelo dobra, nox-Zelo nizka",0.8485513361462729,0.8485513361462729,1.0
67,"no2-Zelo dobra, pm25-Zelo dobra, nox-Zelo nizka, pm10-Zelo dobra",0.8736427566807313,0.8736427566807313,1.0
68,"no2-Zelo dobra, pm4-Zelo dobra, nox-Zelo nizka, pm10-Zelo dobra",0.8690857946554149,0.8690857946554149,1.0
69,"no2-Zelo dobra, pm4-Zelo dobra, nox-Zelo nizka, pm25-Zelo dobra",0.9574683544303797,0.9574683544303797,1.0
70,"pm1-Zelo dobra, no2-Zelo dobra, pm25-Zelo dobra, pm10-Zelo dobra",0.8016315049226441,0.8016315049226441,1.0
71,"pm1-Zelo dobra, no2-Zelo dobra, pm4-Zelo dobra, pm10-Zelo dobra",0.8016315049226441,0.8016315049226441,1.0
72,"pm1-Zelo dobra, no2-Zelo dobra, pm4-Zelo dobra, pm25-Zelo dobra",0.8485513361462729,0.8485513361462729,1.0
73,"pm4-Zelo dobra, no2-Zelo dobra, pm25-Zelo dobra, pm10-Zelo dobra",0.8690857946554149,0.8690857946554149,1.0
74,"pm1-Zelo dobra, pm25-Zelo dobra, nox-Zelo nizka, pm10-Zelo dobra",0.8032630098452883,0.8032630098452883,1.0
75,"pm1-Zelo dobra, pm4-Zelo dobra, nox-Zelo nizka, pm10-Zelo dobra",0.8032630098452883,0.8032630098452883,1.0
76,"pm1-Zelo dobra, pm4-Zelo dobra, nox-Zelo nizka, pm25-Zelo dobra",0.8513080168776371,0.8513080168776371,1.0
77,"pm4-Zelo dobra, pm25-Zelo dobra, nox-Zelo nizka, pm10-Zelo dobra",0.8709423347398031,0.8709423347398031,1.0
78,"pm1-Zelo dobra, pm4-Zelo dobra, pm25-Zelo dobra, pm10-Zelo dobra",0.8032630098452883,0.8032630098452883,1.0
79,"no2-Zelo dobra, pm4-Zelo dobra, nox-Zelo nizka, pm25-Zelo dobra, h-Nizka",0.5440225035161744,0.5440225035161744,1.0
80,"no2-Zelo dobra, pm1-Zelo dobra, nox-Zelo nizka, pm25-Zelo dobra, pm10-Zelo dobra",0.8016315049226441,0.8016315049226441,1.0
81,"no2-Zelo dobra, pm4-Zelo dobra, pm1-Zelo dobra, nox-Zelo nizka, pm10-Zelo dobra",0.8016315049226441,0.8016315049226441,1.0
82,"no2-Zelo dobra, pm4-Zelo dobra, pm1-Zelo dobra, nox-Zelo nizka, pm25-Zelo dobra",0.8485513361462729,0.8485513361462729,1.0
83,"no2-Zelo dobra, pm4-Zelo dobra, nox-Zelo nizka, pm25-Zelo dobra, pm10-Zelo dobra",0.8690857946554149,0.8690857946554149,1.0
84,"no2-Zelo dobra, pm4-Zelo dobra, pm1-Zelo dobra, pm25-Zelo dobra, pm10-Zelo dobra",0.8016315049226441,0.8016315049226441,1.0
85,"pm4-Zelo dobra, pm1-Zelo dobra, nox-Zelo nizka, pm25-Zelo dobra, pm10-Zelo dobra",0.8032630098452883,0.8032630098452883,1.0
86,"no2-Zelo dobra, pm4-Zelo dobra, pm1-Zelo dobra, nox-Zelo nizka, pm25-Zelo dobra, pm10-Zelo dobra",0.8016315049226441,0.8016315049226441,1.0
