,support,itemsets
122,0.9574683544303797,"('no2-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra')"
110,0.8754992967651195,"('pm10-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka')"
54,0.8754992967651195,"('pm10-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro')"
15,0.8754992967651195,"('pm10-Zelo dobra', 'pm25-Zelo dobra')"
1,0.8754992967651195,"('pm10-Zelo dobra',)"
55,0.8754992967651195,"('pm10-Zelo dobra', 'pm25-Zelo dobra', 'nox-Zelo nizka')"
17,0.8754992967651195,"('pm10-Zelo dobra', 'nox-Zelo nizka')"
16,0.8754992967651195,"('pm10-Zelo dobra', 'benzen-Dobro')"
58,0.8754992967651195,"('pm10-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka')"
51,0.8736427566807313,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'nox-Zelo nizka')"
50,0.8736427566807313,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'benzen-Dobro')"
49,0.8736427566807313,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'pm25-Zelo dobra')"
104,0.8736427566807313,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka')"
144,0.8736427566807313,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka')"
101,0.8736427566807313,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'pm25-Zelo dobra', 'nox-Zelo nizka')"
100,0.8736427566807313,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro')"
14,0.8736427566807313,"('pm10-Zelo dobra', 'no2-Zelo dobra')"
112,0.8709423347398031,"('pm10-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra')"
62,0.8709423347398031,"('pm10-Zelo dobra', 'nox-Zelo nizka', 'pm4-Zelo dobra')"
60,0.8709423347398031,"('pm10-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra')"
57,0.8709423347398031,"('pm10-Zelo dobra', 'pm25-Zelo dobra', 'pm4-Zelo dobra')"
19,0.8709423347398031,"('pm10-Zelo dobra', 'pm4-Zelo dobra')"
117,0.8709423347398031,"('pm10-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'pm4-Zelo dobra')"
155,0.8709423347398031,"('pm10-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'pm4-Zelo dobra')"
